property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ambience creacions,sector 22,4.8,2500.0,19200.0,Carpet area: 2500 (232.26 sq.m.),4,6,3+,10.0,North-East,New Property,,,2500.0,0,1,0,1,0,0,49,625.0
flat,breez global heights,sohna road,0.4,623.0,6421.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,1,4.0,North-East,New Property,623.0,,599.0,0,0,0,0,0,2,49,311.5
flat,palam vihar extension west zone rwa,sector 2,0.2,500.0,4000.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1.0,,Moderately Old,,,500.0,0,0,0,0,1,2,0,500.0
house,uppal southend,sector 49,3.75,1467.0,25562.0,Plot area 163(136.29 sq.m.),2,6,3,3.0,East,Moderately Old,,1467.0,,0,0,0,0,1,2,49,733.5
flat,jammu and kashmir bank employees cghs,sector 9a,0.94,1550.0,6065.0,Carpet area: 1550 (144 sq.m.),3,3,2,5.0,East,Moderately Old,,,1550.0,0,0,0,0,0,1,85,516.6666666666666
flat,godrej aria,sector 79,1.7,2289.0,7427.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3,4,3+,6.0,East,New Property,2289.0,,1121.0,0,1,0,0,0,2,81,763.0
flat,ild grand,sector 37c,0.66,1310.0,5038.0,Built Up area: 1310 (121.7 sq.m.),2,2,3+,14.0,,Undefined,,1310.0,,0,0,0,0,0,2,60,655.0
flat,umang monsoon breeze,sector 78,1.15,2176.0,5285.0,Super Built up area 2176(202.16 sq.m.),3,3,3,9.0,,Moderately Old,2176.0,,,0,1,0,0,1,2,22,725.3333333333334
flat,the close north,sector 50,2.65,2350.0,11277.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2491 sq.ft. (231.42 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),3,3,3+,3.0,South-East,Moderately Old,2605.0,2491.0,2350.0,0,1,0,0,0,2,174,783.3333333333334
flat,unitech south park,sector 70,1.13,1614.0,7001.0,Super Built up area 1610(149.57 sq.m.),3,3,2,1.0,,Undefined,1610.0,,,0,0,0,0,0,2,46,538.0
flat,vatika lifestyle homes,sector 83,1.05,1755.0,5983.0,Super Built up area 1755(163.04 sq.m.),3,3,2,14.0,South-West,Relatively New,1755.0,,,1,1,1,1,0,1,174,585.0
house,independent,sector 31,4.6,1426.0,32258.0,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),2,2,2,2.0,East,Undefined,,1426.0,1069.0,0,0,0,0,0,2,0,713.0
flat,godrej air,sector 85,1.3,894.0,14541.0,Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2,2,3,30.0,,Undefined,1400.0,,894.0,0,0,0,0,0,2,111,447.0
house,independent,sector 13,0.45,936.0,4808.0,Built Up area: 936 (86.96 sq.m.),1,1,,1.0,not available,Undefined,,936.0,,0,0,0,0,0,2,0,936.0
