property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,bhawna cghs,sector 43,3.25,3200.0,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12.0,,Moderately Old,3200.0,,3000.0,0,0,0,1,0,1,119
flat,godrej aria,sector 79,1.95,2289.0,8519.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3,4,3+,10.0,,New Property,2289.0,,1121.0,0,1,0,0,0,2,32
house,independent,sector 12,2.9,2700.0,10740.0,Plot area 2700(250.84 sq.m.),7,7,3,2.0,South-West,Old Property,,2700.0,,0,0,0,0,0,2,7
flat,greenopolis,sector 89,0.9,1915.0,4700.0,Built Up area: 1910 (177.44 sq.m.),3,3,0,14.0,,Under Construction,,1910.0,,0,0,0,0,0,2,67
flat,ambience creacions,sector 22,6.16,3000.0,20533.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,3000.0,0,1,0,1,0,1,49
house,independent,sector 4,5.0,4950.0,10101.0,Plot area 550(459.87 sq.m.),3,3,2,1.0,North-East,Old Property,,4950.0,,0,0,0,0,0,2,22
flat,dlf the ultima,sector 81,2.25,2132.0,10553.0,Super Built up area 2132(198.07 sq.m.),3,3,3+,15.0,North-East,Relatively New,2132.0,,,0,1,0,0,0,0,165
house,independent,sector 4,1.1,990.0,11111.0,Built Up area: 990 (91.97 sq.m.),6,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,2,0
flat,pyramid urban homes 2,sector 86,0.5,601.0,8319.0,Carpet area: 601 (55.83 sq.m.),2,2,1,2.0,East,Relatively New,,,601.0,0,0,0,0,0,2,35
house,signature global city 92,sector 92,0.75,959.0,7820.0,Built Up area: 959 (89.09 sq.m.),2,2,3,1.0,not available,Undefined,,959.0,,0,0,0,0,0,2,46
flat,corona optus,sector 37c,1.26,1738.0,7250.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),3,3,3,4.0,North-East,New Property,1735.0,1400.0,965.0,0,0,0,0,0,2,28
flat,tulip violet,sector 69,1.43,1609.0,8886.0,Super Built up area 1608(149.39 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),3,3,2,1.0,South-West,Relatively New,1608.0,,1039.0,0,0,0,1,0,2,86
flat,orchid island,sector 51,0.71,900.0,7891.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4.0,,Relatively New,,,906.0,0,0,0,0,0,2,23
flat,sare green parc 2,sector 92,0.75,1581.0,4745.0,Super Built up area 1454(135.08 sq.m.)Built Up area: 1415 sq.ft. (131.46 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,2.0,East,Relatively New,1454.0,1415.0,1350.0,0,0,0,0,1,1,49
flat,dlf the skycourt,sector 86,1.6,1929.0,8294.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1548 sq.ft. (143.81 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,9.0,North-East,Relatively New,1929.0,1548.0,1300.0,0,0,0,0,1,1,167
flat,rof ananda,sector 95,0.37,644.0,5744.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6.0,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,72
flat,ramshanti cooperative society,sector 52,1.76,2430.0,7242.0,Super Built up area 2430(225.75 sq.m.),4,4,3+,12.0,,New Property,2430.0,,,0,0,0,0,0,2,0
flat,godrej nature plus,sector 33,1.7,1350.0,12592.0,Carpet area: 1350 (125.42 sq.m.),3,3,3+,6.0,,New Property,,,1350.0,0,1,0,0,0,2,38
flat,chintels paradiso,sector 109,1.8,2030.0,8866.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0.0,East,Moderately Old,2030.0,,1785.0,0,1,0,0,0,2,83
flat,shree vardhman victoria,sector 70,1.64,1956.0,8384.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,3.0,North,Relatively New,1950.0,,1161.0,0,1,0,0,0,2,51
flat,shree vardhman flora,sector 90,0.65,1350.0,4814.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6.0,East,Relatively New,1350.0,,,1,0,0,0,0,2,165
flat,m3m skywalk,sector 74,2.45,2018.0,12140.0,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),3,3,3+,25.0,South-West,Relatively New,2018.0,1800.0,1614.0,1,0,0,0,0,2,137
flat,vatika gurgaon,sector 83,0.85,950.0,8947.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,18.0,West,Moderately Old,1245.0,1100.0,950.0,0,0,0,1,0,1,119
flat,paras dews,sector 106,0.95,1385.0,6859.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,North,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,2,49
flat,valley view estate,gwal pahari,1.5,1812.0,8278.0,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9.0,North,Old Property,,,1812.0,1,1,0,0,1,2,135
flat,bestech park view sanskruti,sector 92,1.6,2120.0,7547.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,East,Relatively New,2120.0,,1450.0,0,1,0,0,0,1,60
flat,kendriya vihar,sector 56,0.58,605.0,9586.0,Carpet area: 605 (56.21 sq.m.),1,1,1,1.0,,Old Property,,,605.0,0,0,0,0,0,2,77
flat,tulip violet,sector 69,1.29,1568.0,8227.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,North-East,Relatively New,1568.0,,,0,0,0,1,0,1,86
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,9000.0,35000.0,Plot area 1000(836.13 sq.m.),7,9,3+,3.0,North-East,Moderately Old,,9000.0,,1,1,1,1,0,0,74
flat,prasha apartments,manesar,0.75,2267.0,3309.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,2115.0,,,0,1,0,0,0,2,31
house,independent,sector 4,1.25,160.0,78125.0,Built Up area: 160 (14.86 sq.m.),2,3,,1.0,not available,Undefined,,160.0,,0,0,0,0,0,2,0
house,ansals palam vihar,sector 2,4.0,2400.0,16666.0,Plot area 2400(222.97 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,2400.0,,0,1,0,0,0,2,0
flat,eden landmark,manesar,0.5,1300.0,3847.0,Built Up area: 1300 (120.77 sq.m.),2,2,0,7.0,,Under Construction,,1300.0,,0,0,0,0,0,2,0
flat,vipul lavanya,sector 81,1.0,1250.0,8000.0,Super Built up area 1250(116.13 sq.m.),2,2,2,7.0,,Relatively New,1250.0,,,0,0,0,0,0,2,31
flat,sare green parc phase 3,sector 92,0.95,1956.0,4856.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately Old,1956.0,,,0,0,0,0,0,2,67
flat,paras dews,sector 106,1.2,1034.0,11605.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,3,3,12.0,North-West,Relatively New,1665.0,1145.0,1034.0,1,0,0,0,0,2,158
house,independent,sector 26,10.5,2430.0,43210.0,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3+,4.0,North-East,Relatively New,,300.0,270.0,0,1,0,1,0,1,72
flat,dlf regal gardens,sector 90,1.13,1700.0,6647.0,Super Built up area 1730(160.72 sq.m.),3,3,3+,8.0,North,Relatively New,1730.0,,,0,0,0,0,1,2,72
flat,ats triumph,sector 104,2.62,3150.0,8317.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,14.0,North,Relatively New,3150.0,,,0,1,0,0,0,2,174
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,915.0,10601.0,Super Built up area 915(85.01 sq.m.),2,2,2,12.0,East,Relatively New,915.0,,,0,0,0,0,0,2,100
house,independent,sector 17,9.5,4050.0,23457.0,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 450 sq.yards (376.26 sq.m.),8,8,3,3.0,West,Relatively New,,500.0,450.0,1,0,0,0,0,1,27
flat,raheja navodaya,sector 92,0.85,1572.0,5407.0,Super Built up area 1572(146.04 sq.m.),3,3,0,0.0,East,Relatively New,1572.0,,,0,0,0,0,0,2,88
flat,tulip violet,sector 69,3.05,3156.0,9664.0,Super Built up area 3156(293.2 sq.m.),4,5,3+,14.0,South-West,Relatively New,3156.0,,,0,1,0,0,1,2,49
flat,unitech the residences,sector 33,1.1,1110.0,9909.0,Super Built up area 1110(103.12 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,9.0,East,Moderately Old,1110.0,1100.0,1000.0,0,0,0,0,0,1,44
flat,paras dews,sector 106,1.17,1760.0,6647.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,West,Relatively New,1760.0,1186.0,1130.0,0,1,0,0,0,2,49
house,independent,sector 57,3.6,1728.0,20833.0,Plot area 192(160.54 sq.m.),4,4,2,2.0,South,Old Property,,1728.0,,1,1,1,1,0,2,110
house,dlf city plots phase 3,sector 24,5.0,1467.0,34083.0,Plot area 163(136.29 sq.m.),13,13,3+,4.0,North,New Property,,1467.0,,0,0,0,1,0,0,91
house,independent,sector 26,20.0,4500.0,44444.0,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively New,,4500.0,,0,1,0,1,0,0,97
house,unitech espace,sector 50,,,,Plot area 360(301.01 sq.m.),5,5,3+,2.0,not available,Moderately Old,,360.0,,1,0,0,0,0,2,36
house,independent,sector 2,4.99,2642.0,18889.0,Plot area 270(225.75 sq.m.),4,4,3+,3.0,North,Moderately Old,,270.0,,0,1,1,1,0,2,43
flat,signature global solera,sector 107,0.28,493.0,5674.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,489.0,0,0,0,0,0,2,45
flat,godrej nature plus,sector 33,1.75,1996.0,8768.0,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,,Undefined,,1996.0,,0,0,0,0,0,2,56
flat,indiabulls centrum park,sector 103,1.9,3344.0,5681.0,Carpet area: 3344 (310.67 sq.m.),3,4,3+,10.0,North-East,Relatively New,,,3344.0,1,1,0,1,1,1,49
