property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,dlf belvedere towers,sector 25,3.4,2470.0,13765.0,Carpet area: 2470 (229.47 sq.m.),4,4,3,1.0,South-East,Old Property,,,2470.0,0,1,0,0,0,2,26
flat,dlf the ultima,sector 81,2.29,2096.0,10928.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,15.0,West,Relatively New,2100.0,,,0,1,0,0,0,0,103
flat,sobha city,sector 108,2.4,1381.0,17378.0,Super Built up area 1381(128.3 sq.m.),2,2,2,14.0,,New Property,1381.0,,,0,0,0,0,0,1,113
flat,mapsko mount ville,sector 79,1.28,1496.0,8557.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16.0,South,Relatively New,1490.0,,1063.91,1,0,0,0,0,1,128
house,independent,sector 7,0.27,225.0,12000.0,Plot area 225(20.9 sq.m.),2,2,1,2.0,North-East,Moderately Old,,225.0,,0,0,0,0,0,2,12
flat,experion the heartsong,sector 108,1.2,1758.0,6825.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,3+,11.0,North-East,Relatively New,1758.0,1550.0,1400.0,0,1,0,1,0,1,174
flat,emaar mgf emerald floors premier,sector 65,2.85,1975.0,14430.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.),4,4,3,2.0,South-West,Relatively New,1975.0,1800.0,,1,1,0,0,0,2,21
flat,adani m2k oyster grande,sector 102,2.5,3198.0,7817.0,Super Built up area 3198(297.1 sq.m.),4,5,3+,5.0,South,Relatively New,3198.0,,,0,1,0,0,0,2,76
house,independent,sector 12,1.7,1800.0,9444.0,Built Up area: 200 (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),3,3,,1.0,not available,Undefined,,200.0,180.0,0,0,0,0,0,2,0
flat,dlf royalton tower,sector 43,6.5,3142.0,20687.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,Moderately Old,2997.0,,,0,1,0,0,0,2,7
house,independent,sector 39,1.6,892.0,17937.0,Plot area 892(82.87 sq.m.),1,1,2,2.0,not available,Old Property,,892.0,,0,0,0,0,0,2,40
flat,signature global park 4,sector 36,0.82,1081.0,7585.0,Carpet area: 1081 (100.43 sq.m.),3,2,3,2.0,,New Property,,,1081.0,0,0,0,0,0,2,24
flat,dlf regency park,sector 28,1.91,1150.0,16608.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,11.0,,New Property,,,1150.0,0,0,0,0,0,0,98
flat,mapsko mount ville,sector 79,1.1,864.0,12732.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,Relatively New,1490.0,,863.91,1,0,0,1,0,1,135
flat,signature global park,sohna road,0.54,830.0,6506.0,Carpet area: 830 (77.11 sq.m.),2,2,1,2.0,,Relatively New,,,830.0,0,0,0,0,0,2,16
flat,ss the leaf,sector 85,1.14,1640.0,6951.0,Super Built up area 1640(152.36 sq.m.),2,2,3,4.0,South,Relatively New,1640.0,,,0,0,0,0,0,2,109
flat,unitech greenwood city,sector 45,2.4,1944.0,12346.0,Super Built up area 216(180.6 sq.m.),3,3,2,1.0,North-West,New Property,216.0,,,0,1,0,0,0,1,19
flat,dlf the primus,sector 82a,2.6,2273.0,11438.0,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2.0,East,Relatively New,2273.0,,1340.0,0,0,0,0,1,2,38
flat,mapsko mount ville,sector 79,1.55,1815.0,8539.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11.0,South-West,Relatively New,1815.0,,1071.33,0,1,0,0,0,1,152
flat,sare crescent parc,sector 92,0.92,1895.0,4854.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,5,3+,14.0,North-East,Moderately Old,,1895.0,1600.0,0,0,0,0,0,1,131
house,bptp visionnaire,sector 70a,5.35,6000.0,8916.0,Built Up area: 6000 (557.42 sq.m.),4,4,3+,3.0,North,Relatively New,,6000.0,,1,1,1,1,0,1,160
flat,ats kocoon,sector 109,2.22,2095.0,10596.0,Super Built up area 2095(194.63 sq.m.),3,3,3,20.0,East,Relatively New,2095.0,,,0,1,0,0,1,2,79
flat,emaar gurgaon greens,sector 102,1.42,1650.0,8606.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3,3,3,4.0,North,Relatively New,1650.0,,1022.0,0,0,0,0,1,2,49
flat,mapsko mount ville,sector 79,1.25,1490.0,8389.0,Super Built up area 1490(138.43 sq.m.)Built Up area: 1058 sq.ft. (98.29 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,18.0,South,Relatively New,1490.0,1058.0,863.91,1,0,0,0,0,1,102
house,ss omnia,sector 86,0.42,50.0,84000.0,Plot area 50(4.65 sq.m.),5,3,2,3.0,not available,Relatively New,,50.0,,0,0,0,0,0,2,0
flat,vatika emilia floors,sector 83,0.65,1050.0,6190.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2,2,2,1.0,South,Relatively New,1050.0,950.0,850.0,0,0,0,0,0,1,174
flat,m3m skywalk,sector 74,1.6,1406.0,11379.0,Super Built up area 1406(130.62 sq.m.),2,2,2,28.0,,New Property,1406.0,,,0,0,0,0,0,2,15
flat,samadhan shri kamal cghs,sector 1,2.01,1759.0,11426.0,Carpet area: 1760 (163.51 sq.m.),4,4,3+,10.0,,Moderately Old,,,1760.0,0,0,0,0,0,0,0
flat,tata primanti,sector 72,3.21,2000.0,16050.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,15.0,North-East,Relatively New,2185.0,2140.0,2000.0,0,1,0,0,0,1,174
flat,experion the heartsong,sector 108,1.25,1350.0,9259.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,South-East,Relatively New,1758.0,1500.0,1350.0,0,1,0,1,0,2,174
flat,smart world gems,sector 89,0.9,1105.0,8145.0,Built Up area: 1105 (102.66 sq.m.),2,2,2,1.0,,Undefined,,1105.0,,0,0,0,0,0,2,45
flat,vipul belmonte,sector 53,6.5,2965.0,21922.0,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,,Old Property,2965.0,,,1,0,0,0,1,2,72
flat,signature global city 37d ph 2,sector 37d,1.07,1299.0,8237.0,Carpet area: 1305 (121.24 sq.m.),3,3,2,2.0,North-East,Undefined,,,1305.0,0,0,0,0,0,2,86
flat,shree vardhman victoria,sector 70,1.23,1350.0,9111.0,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,North-East,Relatively New,1350.0,,,1,0,0,0,0,2,43
flat,godrej nature plus,sector 33,1.62,1159.0,13974.0,Built Up area: 129.42 Carpet area: 107.7 sq.m.,3,4,3+,3.0,North,New Property,,129.42,107.7,0,1,0,0,0,2,100
house,ansal sushant lok plots,sector 43,7.0,2700.0,25926.0,Plot area 300(250.84 sq.m.),5,5,3+,3.0,North-East,Relatively New,,2700.0,,1,1,0,1,0,1,41
flat,chanderlok society,sector 28,0.9,1244.0,7234.0,Carpet area: 1244 (115.57 sq.m.),4,2,3+,1.0,,Old Property,,,1244.0,0,0,0,0,0,2,0
flat,smart world orchard,sector 61,1.6,1150.0,13913.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,North-East,New Property,,,1150.0,1,0,0,0,1,2,29
flat,bestech park view ananda,sector 81,1.15,1660.0,6927.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3,2,3+,12.0,East,Relatively New,1660.0,,1082.0,0,0,0,0,0,2,101
flat,m3m soulitude,sector 89,1.0,1103.0,9066.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,2.0,,New Property,,,1103.0,1,0,0,0,0,2,49
house,nul,sector 25,6.25,1800.0,34722.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,,1800.0,,0,1,0,1,0,1,112
flat,dlf the ultima,sector 81,2.34,2092.0,11185.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 1760 sq.ft. (163.51 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3+,14.0,South-East,Relatively New,2092.0,1760.0,1670.0,0,1,0,0,0,0,174
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,1359.0,9933.0,Super Built up area 1359(126.26 sq.m.),2,2,2,9.0,North-East,Relatively New,1359.0,,,0,0,0,0,0,2,100
flat,bestech park view residency,sector 2,0.95,1416.0,6709.0,Carpet area: 1416 (131.55 sq.m.),2,2,3,10.0,North-East,Old Property,,,1416.0,0,0,0,0,0,1,88
flat,signature global synera,sector 81,0.48,568.0,8450.0,Super Built up area 657(61.04 sq.m.)Carpet area: 568 sq.ft. (52.77 sq.m.),2,2,1,7.0,South-East,Relatively New,657.0,,568.0,0,0,0,0,0,1,70
flat,dlf regal gardens,sector 90,1.65,2215.0,7449.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2214 sq.ft. (205.69 sq.m.)Carpet area: 2213 sq.ft. (205.59 sq.m.),4,4,3+,15.0,East,Relatively New,2215.0,2214.0,2213.0,0,0,0,0,0,2,158
flat,tulip violet,sector 69,1.76,2010.0,8756.0,Super Built up area 2010(186.74 sq.m.),4,4,2,6.0,North,Relatively New,2010.0,,,0,0,0,0,0,2,108
flat,dlf new town heights,sector 90,1.21,1938.0,6243.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,7.0,West,Relatively New,1930.0,1929.0,1928.0,0,1,0,1,0,2,127
flat,kendriya vihar,sector 56,0.55,610.0,9016.0,Carpet area: 610 (56.67 sq.m.),1,2,1,0.0,,Old Property,,,610.0,0,0,0,0,0,2,68
flat,ats triumph,sector 104,2.78,3150.0,8825.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,11.0,South,Relatively New,3150.0,,,0,1,0,0,0,2,110
flat,ansal housing highland park,sector 103,0.88,1369.0,6429.0,Super Built up area 1361(126.44 sq.m.),2,2,3,3.0,,New Property,1361.0,,,0,0,0,0,0,2,52
flat,experion the heartsong,sector 108,3.0,1631.0,18392.0,Super Built up area 2779(258.18 sq.m.)Built Up area: 2204.25 sq.ft. (204.78 sq.m.)Carpet area: 1631.07 sq.ft. (151.53 sq.m.),4,5,3+,2.0,South-West,Relatively New,2779.0,2204.25,1631.07,0,1,0,0,0,0,149
flat,pooja apartment,sector 3 phase 3 extension,0.25,700.0,3571.0,Carpet area: 700 (65.03 sq.m.),2,2,2,2.0,East,Relatively New,,,700.0,0,0,0,0,0,2,0
flat,mapsko paradise,sector 83,0.75,1340.0,5597.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3,3,3,10.0,North,New Property,1340.0,,1000.0,0,0,0,0,1,1,49
flat,aipl zen residences,sector 70a,1.25,1262.0,9904.0,Carpet area: 1262 (117.24 sq.m.),2,2,3,19.0,,Undefined,,,1262.0,0,0,0,0,0,2,0
flat,pyramid elite,sector 86,0.46,58228.0,79.0,Carpet area: 58141 (5401.48 sq.m.),2,2,1,0.0,,Under Construction,,,58141.0,0,0,0,0,0,2,15
flat,la vida by tata housing,sector 113,2.45,2217.0,11050.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1680 sq.ft. (156.08 sq.m.),3,3,3+,3.0,North-East,Relatively New,2217.0,1890.0,1680.0,1,0,0,0,0,2,174
flat,shree vardhman victoria,sector 70,1.65,1950.0,8461.0,Super Built up area 1950(181.16 sq.m.),3,4,3,12.0,North,Relatively New,1950.0,,,0,1,1,0,0,2,56
flat,dlf new town heights,sector 90,1.51,2364.0,6387.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2362 sq.ft. (219.44 sq.m.)Carpet area: 2360 sq.ft. (219.25 sq.m.),4,4,3+,6.0,South,Relatively New,2364.0,2362.0,2360.0,0,1,0,1,0,1,142
flat,sare homes,sector 92,1.18,2266.0,5207.0,Carpet area: 2266 (210.52 sq.m.),4,4,3,8.0,North,Relatively New,,,2266.0,0,1,0,0,0,2,108
flat,emaar palm heights,sector 77,1.75,1500.0,11666.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,11.0,South-West,Relatively New,2025.0,1900.0,1500.0,0,1,0,0,0,2,94
flat,central park flower valley,sector 33,1.4,650.0,21538.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,2,54
flat,emaar mgf emerald floors premier,sector 65,2.36,1650.0,14303.0,Super Built up area 1650(153.29 sq.m.),3,3,3,0.0,North-East,Relatively New,1650.0,,,1,1,0,0,0,1,159
flat,ramprastha primera,sector 37d,1.1,1800.0,6111.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,2,149
flat,pyramid urban,sector 67a,0.55,523.0,10516.0,Carpet area: 523 (48.59 sq.m.),2,2,2,3.0,South-West,Relatively New,,,523.0,0,0,0,0,0,2,73
flat,conscient heritage max,sector 102,2.15,2149.0,10004.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,18.0,South,Relatively New,2149.0,,,1,1,0,0,0,1,134
flat,signature global synera,sector 81,0.5,634.0,7886.0,Carpet area: 634 (58.9 sq.m.),2,2,1,11.0,East,New Property,,,634.0,0,0,0,0,0,0,97
flat,umang winter hills,sector 77,0.75,1342.0,5588.0,Super Built up area 1342(124.68 sq.m.)Built Up area: 1140 sq.ft. (105.91 sq.m.)Carpet area: 969 sq.ft. (90.02 sq.m.),2,2,2,8.0,South,Relatively New,1342.0,1140.0,969.0,0,0,1,0,0,1,102
flat,bestech park view city,sector 48,2.7,2305.0,11713.0,Super Built up area 2305(214.14 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3+,7.0,North-East,Relatively New,2305.0,2000.0,1700.0,1,1,0,0,0,1,174
flat,experion the heartsong,sector 108,2.0,2338.0,8554.0,Super Built up area 2338(217.21 sq.m.),3,3,3+,14.0,East,Relatively New,2338.0,,,0,1,0,0,0,2,95
flat,adani m2k oyster grande,sector 102,1.8,1889.0,9528.0,Super Built up area 1889(175.49 sq.m.),3,4,3,17.0,South-East,Relatively New,1889.0,,,0,1,0,0,0,2,49
flat,hcbs sports ville,sohna road,0.22,700.0,3142.0,Carpet area: 700 (65.03 sq.m.),1,1,1,1.0,,New Property,,,700.0,0,0,0,0,0,2,86
house,independent,sector 55,7.49,2700.0,27741.0,Plot area 300(250.84 sq.m.),12,12,3+,4.0,South-East,Relatively New,,2700.0,,1,1,0,1,0,1,49
flat,tulip violet,sector 69,1.4,1580.0,8861.0,Super Built up area 1578(146.6 sq.m.),3,3,2,2.0,North-East,Relatively New,1578.0,,,0,0,0,1,0,2,102
flat,gls arawali homes,sohna road,0.3,567.0,5291.0,Super Built up area 567(52.68 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,10.0,,Relatively New,567.0,,467.0,0,0,0,0,0,2,42
flat,tulip yellow,sector 69,1.8,1704.0,10563.0,Carpet area: 1704 (158.31 sq.m.),3,3,3,14.0,East,Undefined,,,1704.0,0,0,0,0,0,2,49
flat,suncity vatsal valley,gwal pahari,1.38,1430.0,9650.0,Super Built up area 1430(132.85 sq.m.),3,3,2,1.0,East,Relatively New,1430.0,,,0,0,0,0,0,1,151
house,international city by sobha phase 2,sector 109,5.65,5400.0,10463.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,0,1,0,0,1,1,44
house,not applicable,sector 4,,,,Plot area 670(560.21 sq.m.),5,3,2,3.0,not available,Moderately Old,,670.0,,0,0,0,0,0,2,0
flat,ramsons kshitij,sector 95,0.4,685.0,5839.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,,Undefined,,,685.0,0,0,0,0,0,2,0
house,ansals florence villa,sector 57,6.0,2700.0,22222.0,Plot area 300(250.84 sq.m.),4,5,2,2.0,not available,Old Property,,2700.0,,0,1,0,1,0,1,20
flat,paras dews,sector 106,0.97,1100.0,8818.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6.0,North-East,New Property,1385.0,1200.0,1100.0,0,0,0,1,0,1,174
house,independent,sector 2,3.0,1557.0,19268.0,Plot area 173(144.65 sq.m.),6,4,3+,3.0,South,Old Property,,1557.0,,0,0,0,0,0,1,28
flat,bptp terra,sector 37d,1.45,1811.0,8006.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8.0,South-East,Relatively New,1811.0,1711.0,1611.0,0,0,0,0,0,2,149
flat,dlf regal gardens,sector 90,1.25,1703.0,7339.0,Super Built up area 1703(158.21 sq.m.),3,3,3,28.0,North,Moderately Old,1703.0,,,0,1,0,0,0,2,38
flat,ramprastha primera,sector 37d,1.08,1800.0,6000.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9.0,South,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,2,158
flat,greenopolis,sector 89,0.65,1251.0,5195.0,Carpet area: 1251 (116.22 sq.m.),2,2,2,15.0,,Undefined,,,1251.0,0,0,0,0,0,2,37
house,independent,sector 4,0.47,1336.0,3519.0,Built Up area: 1350 (125.42 sq.m.),3,4,,3.0,not available,Undefined,,1350.0,,0,0,0,0,0,2,0
flat,dlf the arbour,sector 63,7.9,3950.0,20000.0,Built Up area: 3950 (366.97 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4,4,3+,34.0,,Undefined,,3950.0,2900.0,0,0,0,0,0,2,61
flat,shree vardhman victoria,sector 70,1.1,1300.0,8461.0,Carpet area: 1300 (120.77 sq.m.),2,2,2,8.0,North-East,Relatively New,,,1300.0,0,0,0,0,0,2,101
flat,kiran residency,sector 56,1.55,2000.0,7750.0,Super Built up area 2000(185.81 sq.m.),3,3,3,5.0,North,Old Property,2000.0,,,0,1,0,0,0,1,52
flat,sare crescent parc royal greens phase 1,sector 92,0.5,1000.0,5000.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 999 sq.ft. (92.81 sq.m.),2,2,3,2.0,North-East,Undefined,,1000.0,999.0,0,0,0,0,0,2,0
flat,sapphire eighty three,sector 83,0.65,700.0,9286.0,Built Up area: 700 (65.03 sq.m.),1,1,0,6.0,,Undefined,,700.0,,0,0,0,0,0,2,0
flat,rof ananda,sector 95,0.25,380.0,6578.0,Super Built up area 380(35.3 sq.m.),1,1,1,4.0,,New Property,380.0,,,0,0,0,0,0,2,0
flat,godrej oasis,sector 88a,1.5,1850.0,8108.0,Carpet area: 1850 (171.87 sq.m.),3,3,2,3.0,,Relatively New,,,1850.0,0,0,0,0,0,2,47
flat,vidya apartment,sector 3 phase 3 extension,0.22,523.0,4210.0,Built Up area: 570 (52.95 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,1,1.0,North-West,Relatively New,,570.0,550.0,0,0,0,0,1,0,36
flat,emaar mgf emerald floors premier,sector 65,2.65,1650.0,16060.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North,Relatively New,,,1650.0,1,1,0,0,0,2,37
flat,the close north,sector 50,3.0,2605.0,11516.0,Super Built up area 2605(242.01 sq.m.),3,3,3+,14.0,North,Old Property,2605.0,,,0,1,0,0,0,1,121
house,ardee city,sector 52,5.5,300.0,183333.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately Old,,300.0,,0,1,0,1,1,1,26
flat,ss the leaf,sector 85,1.75,2408.0,7267.0,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,North,Relatively New,2408.0,,,0,1,0,0,0,2,49
flat,hcbs sports ville,sohna road,0.29,730.0,3970.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 519 sq.ft. (48.22 sq.m.),2,2,1,4.0,,Undefined,,743.0,519.0,0,0,0,0,0,2,0
flat,orchid petals,sector 49,2.23,2033.0,10969.0,Super Built up area 2033(188.87 sq.m.),3,3,3,14.0,North,Relatively New,2033.0,,,0,0,0,0,1,2,40
house,independent,sector 43,6.5,1836.0,35400.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately Old,,215.0,,0,1,0,1,0,1,54
flat,central park resorts,sector 48,3.65,2395.0,15240.0,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3,3,3+,9.0,North-West,Relatively New,1870.0,1869.0,,0,0,0,0,1,1,157
house,international city by sobha phase 2,sector 109,8.48,3600.0,23556.0,Plot area 400(334.45 sq.m.),4,6,3+,3.0,North-East,New Property,,3600.0,,1,1,1,1,0,2,153
flat,signature global synera,sector 81,0.49,735.0,6666.0,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,5.0,South,Relatively New,735.0,700.0,635.0,0,0,0,0,0,2,117
flat,spaze privy at,sector 84,1.24,1918.0,6465.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,8.0,North-East,Relatively New,1918.0,1650.0,1550.0,1,0,0,0,0,1,158
flat,ss the leaf,sector 85,2.0,2408.0,8305.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,6.0,North,Relatively New,2408.0,2300.0,2200.0,0,1,0,0,0,2,49
flat,aipl club residences,sector 70a,0.85,930.0,9139.0,Super Built up area 930(86.4 sq.m.),2,2,2,5.0,South-East,Relatively New,930.0,,,0,0,0,0,0,1,45
flat,raheja vedaanta,sector 108,0.7,1500.0,4666.0,Built Up area: 1468 (136.38 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,1,10.0,West,Moderately Old,,1468.0,1150.0,0,0,0,0,0,2,0
flat,woodstock floors,sector 50,1.05,988.0,10627.0,Carpet area: 988 (91.79 sq.m.),2,2,2,2.0,North,Moderately Old,,,988.0,0,0,0,0,0,2,53
flat,vipul lavanya,sector 81,0.6,900.0,6666.0,Super Built up area 900(83.61 sq.m.),2,2,1,0.0,,Under Construction,900.0,,,0,0,0,0,0,2,0
flat,ramsons kshitij,sector 95,0.28,767.0,3650.0,Super Built up area 767(71.26 sq.m.),2,2,2,5.0,North-West,New Property,767.0,,,0,0,0,0,1,2,0
flat,sbtl caladium,sector 109,1.9,3055.0,6219.0,Super Built up area 3055(283.82 sq.m.),4,4,3,8.0,North-East,Relatively New,3055.0,,,0,1,0,0,0,2,151
flat,orris aster court premier,sector 85,1.73,2560.0,6757.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),4,5,3+,8.0,East,Relatively New,2560.0,2017.0,,0,1,0,0,0,2,16
flat,vatika city,sector 49,1.79,1400.0,12785.0,Carpet area: 1400 (130.06 sq.m.),3,3,3,9.0,,Old Property,,,1400.0,0,1,0,0,0,2,38
flat,experion windchants,sector 112,5.49,4739.0,11584.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,4739.0,3655.35,,0,1,0,0,0,1,168
flat,experion the heartsong,sector 108,2.08,2100.0,9904.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3+,3.0,East,Relatively New,,2631.0,2100.0,0,1,0,0,0,2,126
house,independent,sector 3,0.55,820.0,6707.0,Plot area 820(76.18 sq.m.)Built Up area: 810 sq.ft. (75.25 sq.m.)Carpet area: 715 sq.ft. (66.43 sq.m.),2,2,1,2.0,South-East,Moderately Old,,810.0,715.0,0,0,0,0,0,2,0
house,independent,sector 7,0.89,477.0,18658.0,Plot area 477(44.31 sq.m.),5,3,2,2.0,East,Old Property,,477.0,,0,0,0,0,0,2,8
flat,ss the leaf,sector 83,1.19,1647.0,7225.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,4.0,South-East,Relatively New,1640.0,1630.0,1620.0,0,0,0,0,0,2,49
flat,hsiidc sidco shivalik apartments,manesar,0.73,2051.0,3560.0,Super Built up area 2050(190.45 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2.0,South,Moderately Old,2050.0,,1400.0,0,1,0,0,0,2,80
flat,emaar mgf emerald floors premier,sector 65,2.24,1650.0,13575.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,North-West,Relatively New,,,1650.0,1,1,0,0,0,2,46
flat,suncity vatsal valley,gwal pahari,1.38,1130.0,12212.0,Built Up area: 1130 (104.98 sq.m.),2,2,2,4.0,East,Under Construction,,1130.0,,0,0,0,0,0,1,133
flat,indiabulls centrum park,sector 103,1.2,1423.0,8432.0,Super Built up area 1423(132.2 sq.m.),2,2,3,3.0,North-East,Moderately Old,1423.0,,,0,0,0,0,0,2,26
house,vipul tatvam villa,sector 48,8.5,3240.0,26235.0,Plot area 360(301.01 sq.m.),4,4,1,,not available,Relatively New,,3240.0,,0,0,0,0,0,2,21
flat,emaar mgf emerald floors premier,sector 65,2.7,1650.0,16363.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North-West,Relatively New,,,1650.0,0,1,1,0,0,1,108
flat,smart world gems,sector 89,0.95,1067.0,8903.0,Super Built up area 1067(99.13 sq.m.)Carpet area: 578 sq.ft. (53.7 sq.m.),2,2,2,1.0,East,Undefined,1067.0,,578.0,1,0,0,0,0,2,122
flat,ireo victory valley,sector 67,3.49,2685.0,13000.0,Carpet area: 2452 (227.8 sq.m.),3,3,3,19.0,South-East,Relatively New,,,2452.0,0,1,0,0,0,2,103
flat,ashiana anmol,sector 33,1.1,1275.0,8627.0,Built Up area: 1275 (118.45 sq.m.)Carpet area: 795 sq.ft. (73.86 sq.m.),2,2,2,4.0,North-East,Undefined,,1275.0,795.0,0,0,0,0,0,2,0
house,independent,sector 6,1.0,240.0,41666.0,Built Up area: 240 (22.3 sq.m.),6,4,,3.0,not available,Undefined,,240.0,,0,0,0,0,0,2,0
